[Thread-1][epoch 42]	Val Loss: 88.79798472387934
[Thread-4][epoch 45]	Val Loss: 95.60855208867311
[Thread-0][epoch 42]	Val Loss: 107.43400319395823
[Thread-3][epoch 42]	Val Loss: 91.68207506046731
[Thread-0][epoch 43]	Val Loss: 103.31356851914627
[Thread-4][epoch 46]	Val Loss: 90.2152136605862
[Thread-2][epoch 44]	Val Loss: 85.06790667240872
[Thread-1][epoch 43]	Val Loss: 88.78276822921652
[Thread-3][epoch 43]	Val Loss: 85.1498777674633
[Thread-2][epoch 45]	Val Loss: 80.72777774128946
[Thread-4][epoch 47]	Val Loss: 87.31867706576877
[Thread-0][epoch 44]	Val Loss: 104.67296025767757
[Thread-1][epoch 44]	Val Loss: 89.51581152566901
[Thread-3][epoch 44]	Val Loss: 79.90540579615349
[Thread-2][epoch 46]	Val Loss: 82.00269152833236
[Thread-3][epoch 45]	Val Loss: 81.20677001975406
[Thread-4][epoch 48]	Val Loss: 88.2440851996109
[Thread-0][epoch 45]	Val Loss: 99.58681481932045
[Thread-1][epoch 45]	Val Loss: 87.33102848115193
[Thread-3][epoch 46]	Val Loss: 79.5727668862362
[Thread-1][epoch 46]	Val Loss: 87.22793836359658
[Thread-4][epoch 49]	Val Loss: 87.86002287136256
[Thread-2][epoch 47]	Val Loss: 81.6980492649069
[Thread-0][epoch 46]	Val Loss: 100.53493476931784
[Thread-3][epoch 47]	Val Loss: 81.17667565944535
[Thread-1][epoch 47]	Val Loss: 89.399349241694
[Thread-0][epoch 47]	Val Loss: 99.81491689571499
[Thread-2][epoch 48]	Val Loss: 76.42658057926865
[Thread-4][epoch 50]	Val Loss: 84.31936796879852
[Thread-1][epoch 48]	Val Loss: 90.74113431924462
[Thread-3][epoch 48]	Val Loss: 83.11615968873043
[Thread-4][epoch 51]	Val Loss: 86.45182615036673
[Thread-2][epoch 49]	Val Loss: 77.71575895091644
[Thread-0][epoch 48]	Val Loss: 100.97457234298138
[Thread-3][epoch 49]	Val Loss: 81.11850856997012
[Thread-1][epoch 49]	Val Loss: 92.33842902130978
[Thread-4][epoch 52]	Val Loss: 88.06006685294865
[Thread-0][epoch 49]	Val Loss: 101.81264906200416
